installment,grade,home_ownership,loan_status
162.87,B,RENT,Fully Paid
59.83,C,RENT,Charged Off
84.33,C,RENT,Fully Paid
339.31,C,RENT,Fully Paid
67.79,B,RENT,Fully Paid
156.46,A,RENT,Fully Paid
170.08,C,RENT,Fully Paid
109.43,E,RENT,Fully Paid
152.39,F,OWN,Charged Off
121.45,B,RENT,Charged Off
153.45,C,OWN,Fully Paid
402.54,B,OWN,Fully Paid
305.38,C,RENT,Charged Off
96.68,B,RENT,Fully Paid
325.74,B,RENT,Charged Off
35.31,D,RENT,Fully Paid
347.98,C,RENT,Fully Paid
109.57,A,MORTGAGE,Fully Paid
198.46,B,MORTGAGE,Fully Paid
280.01,A,RENT,Fully Paid
484.63,C,RENT,Fully Paid
701.73,B,RENT,Charged Off
330.76,B,OWN,Fully Paid
330.76,B,RENT,Fully Paid
198.46,B,RENT,Charged Off
483.38,B,MORTGAGE,Fully Paid
514.64,C,RENT,Charged Off
123.65,D,RENT,Charged Off
132.31,B,MORTGAGE,Fully Paid
281.15,B,RENT,Fully Paid
136.11,A,MORTGAGE,Fully Paid
995.82,A,MORTGAGE,Fully Paid
242.97,C,RENT,Fully Paid
158.77,A,RENT,Fully Paid
245.97,C,RENT,Fully Paid
403.91,B,RENT,Fully Paid
348.03,B,RENT,Fully Paid
469.36,A,RENT,Fully Paid
200.5,B,RENT,Fully Paid
282.44,B,RENT,Fully Paid
298.67,A,RENT,Fully Paid
375.49,A,RENT,Fully Paid
108.84,D,MORTGAGE,Fully Paid
156.37,D,RENT,Fully Paid
182.62,A,MORTGAGE,Fully Paid
451.15,B,RENT,Fully Paid
158.77,A,MORTGAGE,Charged Off
325.74,B,RENT,Fully Paid
304.36,A,RENT,Fully Paid
337.75,A,RENT,Fully Paid
483.38,B,MORTGAGE,Charged Off
824.96,B,RENT,Fully Paid
228.02,B,RENT,Fully Paid
421.65,C,RENT,Charged Off
386.7,B,RENT,Fully Paid
555.33,E,RENT,Charged Off
423.11,E,RENT,Fully Paid
334.16,B,OWN,Fully Paid
325.74,B,RENT,Fully Paid
252.33,D,MORTGAGE,Fully Paid
293.74,B,MORTGAGE,Fully Paid
223.74,D,RENT,Fully Paid
417.25,C,RENT,Fully Paid
284.31,D,RENT,Fully Paid
215.69,B,RENT,Charged Off
114.01,B,MORTGAGE,Fully Paid
223.11,D,RENT,Charged Off
563.53,C,RENT,Fully Paid
223.14,F,RENT,Charged Off
517.42,C,OWN,Fully Paid
341.63,D,MORTGAGE,Fully Paid
227.45,D,RENT,Charged Off
101.8,C,RENT,Fully Paid
426.47,D,RENT,Fully Paid
457.25,A,OWN,Fully Paid
413.94,C,RENT,Fully Paid
373.24,C,MORTGAGE,Fully Paid
197.51,F,RENT,Fully Paid
469.36,A,MORTGAGE,Fully Paid
475.99,E,MORTGAGE,Fully Paid
551.84,D,MORTGAGE,Fully Paid
343.09,C,RENT,Fully Paid
395.83,B,RENT,Fully Paid
136.96,A,RENT,Fully Paid
234.82,B,RENT,Fully Paid
307.43,B,RENT,Fully Paid
349.98,D,RENT,Fully Paid
97.06,B,MORTGAGE,Fully Paid
423.61,D,RENT,Fully Paid
407.17,C,RENT,Fully Paid
390.88,B,RENT,Fully Paid
228.02,B,MORTGAGE,Fully Paid
214.62,E,RENT,Fully Paid
352.23,B,RENT,Fully Paid
231.54,B,OWN,Fully Paid
423.1,F,RENT,Fully Paid
282.86,B,MORTGAGE,Fully Paid
437.47,D,MORTGAGE,Charged Off
106.53,A,MORTGAGE,Fully Paid
135.57,B,RENT,Fully Paid
199.8,B,RENT,Charged Off
402.65,D,RENT,Fully Paid
190.52,A,OWN,Fully Paid
232.02,B,RENT,Fully Paid
301.66,A,MORTGAGE,Fully Paid
465.53,D,RENT,Charged Off
781.76,B,RENT,Fully Paid
203.59,C,RENT,Fully Paid
203.59,C,RENT,Fully Paid
70.18,B,MORTGAGE,Fully Paid
168.88,A,MORTGAGE,Fully Paid
337.75,A,OWN,Fully Paid
723.38,F,MORTGAGE,Fully Paid
268.36,B,MORTGAGE,Fully Paid
362.78,D,RENT,Charged Off
264.61,B,MORTGAGE,Fully Paid
317.54,A,RENT,Fully Paid
396.92,B,MORTGAGE,Fully Paid
312.91,A,RENT,Fully Paid
386.7,B,RENT,Fully Paid
575.12,C,MORTGAGE,Charged Off
643.33,B,RENT,Charged Off
322.25,B,RENT,Fully Paid
456.12,B,RENT,Fully Paid
312.04,E,RENT,Charged Off
563.23,A,RENT,Fully Paid
85.78,C,RENT,Fully Paid
559.89,E,RENT,Fully Paid
1111.37,A,MORTGAGE,Fully Paid
311.11,A,RENT,Fully Paid
234.82,B,RENT,Fully Paid
843.3,C,MORTGAGE,Charged Off
330.56,A,MORTGAGE,Fully Paid
172.48,C,RENT,Fully Paid
271.73,A,RENT,Fully Paid
198.34,A,RENT,Fully Paid
198.46,B,RENT,Fully Paid
340.82,A,RENT,Charged Off
225.95,B,MORTGAGE,Fully Paid
188.71,A,MORTGAGE,Fully Paid
547.12,E,RENT,Fully Paid
138.92,B,RENT,Fully Paid
480.33,C,RENT,Fully Paid
276.11,A,MORTGAGE,Fully Paid
435.04,B,RENT,Fully Paid
386.7,B,RENT,Charged Off
423.11,E,RENT,Fully Paid
565.32,E,MORTGAGE,Fully Paid
195.44,B,MORTGAGE,Fully Paid
208.97,D,OWN,Fully Paid
460.1,C,RENT,Fully Paid
330.76,B,RENT,Charged Off
423.61,D,MORTGAGE,Fully Paid
309.99,C,RENT,Charged Off
240.59,B,RENT,Fully Paid
193.17,C,MORTGAGE,Charged Off
411.71,C,RENT,Fully Paid
258.71,A,RENT,Fully Paid
257.8,B,RENT,Fully Paid
267.33,B,RENT,Fully Paid
382.92,C,RENT,Fully Paid
536.81,D,MORTGAGE,Fully Paid
322.25,B,OWN,Fully Paid
307.04,A,MORTGAGE,Fully Paid
275.96,C,RENT,Fully Paid
708.95,B,MORTGAGE,Fully Paid
205.86,C,MORTGAGE,Fully Paid
339.25,B,OWN,Fully Paid
77.78,A,OWN,Charged Off
435.04,B,MORTGAGE,Fully Paid
835.39,B,RENT,Fully Paid
339.31,C,RENT,Fully Paid
84.83,C,RENT,Fully Paid
245.72,B,RENT,Fully Paid
133.67,B,RENT,Fully Paid
339.31,C,RENT,Charged Off
277.36,D,RENT,Charged Off
539.84,F,RENT,Charged Off
320.79,B,RENT,Fully Paid
464.07,B,RENT,Charged Off
456.03,B,RENT,Fully Paid
446.1,B,RENT,Fully Paid
